region_key,year,yield_kg_ha
ks,2015,2275.3
ks,2016,3012.1
ks,2017,427.3
ks,2018,1017.4
ks,2019,1389.6
ks,2020,94.9
ks,2021,281.9
ks,2022,490.4
ks,2023,3637.3
ks,2024,993.3
mo,1995,6615.8
mo,1996,7005.7
mo,1997,2807.1
mo,1998,7066.5
mo,1999,2562.1
mo,2000,8296.4
mo,2001,4563.4
mo,2002,3271.8
mo,2003,2572.8
mo,2004,9022.5
mo,2005,712.1
mo,2006,2728.5
mo,2007,8166.7
mo,2008,7831.1
mo,2009,8177.0
mo,2010,6352.6
mo,2011,4128.9
mo,2012,40.3
mo,2013,2607.0
mo,2014,7497.4
mo,2015,7383.0
mo,2016,6151.7
mo,2017,4291.5
mo,2018,1176.3
mo,2019,7253.8
mo,2020,7108.5
mo,2021,7941.6
mo,2022,4268.1
mo,2023,1522.8
mo,2024,7922.7
